date,description,type,from,to,amount,currency,comment,tx_hash
30/6/2025,imKey campaign + bitcoin pizza day campaign prize pool,Campaign budget,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0xc79b9fB4828FF3987cc318d4EbaCf0d26305F14c,"3,525.00",LON,"https://x.com/tokenlon/status/1925016826716815853, https://x.com/imKeyOfficial/status/1924675909749244000",0xe90bc6992ce09bf95f6e136750f6d6ed33dc2785165fe0798639fa130073240a
30/6/2025,"Swap 2,494.43 USDT for 3,524.99 LON",Token swap,0x4a14347083B80E5216cA31350a2D21702aC3650d,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,"3,524.99",LON,,0xc621d5d8b7a17046c37d7d27dd65212f166465e47024bca0ae5fdb9e5bdecd7c
,,,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0x4a14347083B80E5216cA31350a2D21702aC3650d,"2,494.43",USDT,,0xc621d5d8b7a17046c37d7d27dd65212f166465e47024bca0ae5fdb9e5bdecd7c
25/6/2025,"*Graph Studio reloads,daily LON staking data analysis gas fees",Subscription fees,,,7500,GRT,,
19/5/2025,"*Subscription fees, including Typefully for Twitter management",Subscription fees,,,149.99,USDT,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,*to be reported in Q3 2025,,,,,,,
,,,,,,,,
,Q2 Total expenditure in USDT:,"3,274.42",,,,,,
