date,description,type,from,to,amount,currency,comment,tx_hash
14/5/2024,Q2 budget from Community Treasury,Community Budget,0x3557BD3d422300198719710Cc3f00194E1c20A46,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,"50,000",USDT,,0xa9faf4d3bab79b784c981da411b8427cb5b4bf7cfdcf684c7008b1d919c756fc
4/6/2024,*BestBuy user testing reward,Community Budget,\,\,180,USDT,,\
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Note: ,,,,,,,,
1. The community budget from 2024 Q1 balance will be settled in 2024 Q3.,,,,,,,,
"2. Regarding the community budget for Q2, the funds will be transfered from the Tokenlon community wallet in Q3. The funds were allocated for the following purposes:",,,,,,,,
,,,,,,,,
,BestBuy user testing reward,https://discord.com/channels/749875871535595550/751387654570115072/1240923520658051152,,180 USDT,,,,
