date,description,type,from,to,amount,currency,comment,tx_hash
3/7/2024,Q1 + Q2 USDT community budget repayment,Community budget,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0xc79b9fB4828FF3987cc318d4EbaCf0d26305F14c,"2,010.00",USDT,,0x46778f9342b603e36e346a5bea71457e177c7321118cbe00a40fbf2582272010
3/7/2024,Swap 4305 USDT for 4501 LON,Token Swap,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0x4a14347083B80E5216cA31350a2D21702aC3650d,"4,305.13",USDT,for Q1 LON community budget repayment,0x6c5a619d4460d443eceda00ab8791b73ad486e7ade0d7a726908cdb46c097d64
,Swap 4305 USDT for 4501 LON,Token Swap,0x4a14347083B80E5216cA31350a2D21702aC3650d,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,"4,500.99",LON,Pay gas with tokens' creates 2 on-chain transactions for a single swap,0x6c5a619d4460d443eceda00ab8791b73ad486e7ade0d7a726908cdb46c097d64
3/7/2024,Q1 LON Community budget repayment,Community budget,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0xc79b9fB4828FF3987cc318d4EbaCf0d26305F14c,"4,500.00",LON,,0xe8b0fe9b2db06a7ce70b89a1e3b60d0b2bf7d15f9783f62c00e92e64941f5328
25/7/2024,Tokenlon 5th anniversary merchandise,Campaign budget,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0xf0d53D32C5cd4996d50EB6cc360f490fC791013D,"6,000.00",USDT,,0xc6569f7b8794a685f8f699f7b4d81942663b46f0879d093603b66df39df00922
26/7/2024,Swap 619 USDT for 684 LON,Token Swap,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0x4a14347083B80E5216cA31350a2D21702aC3650d,619.26,USDT,for Tokenlon x imToken ETH ETF campaign,0x1043ef7fc76d9fb3faee0b77f910d550978011c8e0b4e103f730fab8ebe264ac
,Swap 619 USDT for 684 LON,Token Swap,0x4a14347083B80E5216cA31350a2D21702aC3650d,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,683.99,LON,Pay gas with tokens' creates 2 on-chain transactions for a single swap,0x1043ef7fc76d9fb3faee0b77f910d550978011c8e0b4e103f730fab8ebe264ac
26/7/2024,Tokenlon x imToken ETH ETF celebration campaign,Campaign budget,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0xc79b9fB4828FF3987cc318d4EbaCf0d26305F14c,684.00,LON,https://x.com/imTokenCN/status/1815363906984120482,0xe98b9e0fb4a4945db98e22f667a9885ed7d44ef8bc261584b4313b776ec47ad5
6/9/2024,Swap 2204 USDT for 2504.9 LON,Token Swap,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0x4a14347083B80E5216cA31350a2D21702aC3650d,"2,204.40",USDT,for Tokenlon 5th anniversary prize pool,0x99cf67612bed33c265aef800a1835b2c4667014c20c4e4b2f52a1012c02bdb44
,Swap 2204 USDT for 2504.9 LON,Token Swap,0x4a14347083B80E5216cA31350a2D21702aC3650d,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,"2,504.99",LON,Pay gas with tokens' creates 2 on-chain transactions for a single swap,0x99cf67612bed33c265aef800a1835b2c4667014c20c4e4b2f52a1012c02bdb44
6/9/2024,Swap 10713.1249 USDT for 4.48081998 ETH,Token Swap,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0xfD6C2d2499b1331101726A8AC68CCc9Da3fAB54F,"10,713.12",USDT,for 6th August user gas refunds,0x2a6fa8de22a0d6f543c1916b7bc9f1fc9190d3ca49c5b2aa06bb8eef832a3dd1
6/9/2024,Swap 2751.0135 USDT for 0.04846959 WBTC,Token Swap,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0x8D90113A1e286a5aB3e496fbD1853F265e5913c6,"2,751.01",USDT,for 6th August user gas refunds,0x6d824ea6f565db1f29df61a7c42e725c1e86b4f18d5ebe9374f7d3de1da4f302
,Swap 2751.0135 USDT for 0.04846959 WBTC,Token Swap,0x8D90113A1e286a5aB3e496fbD1853F265e5913c6,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0.0484,WBTC,,0x6d824ea6f565db1f29df61a7c42e725c1e86b4f18d5ebe9374f7d3de1da4f302
6/9/2024,Tokenlon 5th anniversary prize pool,Campaign budget,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0xc79b9fB4828FF3987cc318d4EbaCf0d26305F14c,"2,505.00",LON,https://tokenlon.im/campaign,0x6b730cc794d4784e53ca0c667abe6ce92a070ca30554ea955b899fc4d38c3db8
9/9/2024,6th August user gas refunds,Gas refund,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0xb9E29984Fe50602E7A619662EBED4F90D93824C7,0.0484,WBTC,https://tokenlon.im/blog/29467460061460,0xe372884d9ae0e280d31963e334c74c765296c62a2b7d1f052cee0596833e1874
9/9/2024,6th August user gas refunds,Gas refund,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0xb9E29984Fe50602E7A619662EBED4F90D93824C7,4.4809,ETH,,0x357bb888164c634da56138a634bfb319d3d4bf1c26007af331ce6134f712ff16
12/9/2024,Swap 91.79 USDT for 99.99 LON,Token Swap,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0x4a14347083B80E5216cA31350a2D21702aC3650d,91.79,USDT,for Mid-autumn festival campaign,0x266def802ea0f708c215abc7f71de2e87c1577aee77afed2dda003fdb312ffad
12/9/2024,Swap 91.79 USDT for 99.99 LON,Token Swap,0x4a14347083B80E5216cA31350a2D21702aC3650d,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,99.99,LON,,0x266def802ea0f708c215abc7f71de2e87c1577aee77afed2dda003fdb312ffad
12/9/2024,Mid-autumn Festival campaign,Campaign budget,0xc5B2f3e81c9B4FB643190A060Fbc5653542505dF,0xc79b9fB4828FF3987cc318d4EbaCf0d26305F14c,100.00,LON,https://x.com/tokenlon/status/1834165573980488075,0xe9b4e0f478775770bc3f0fb0f2a039e7a21f065c4d43ace6a1f7708a7da077ba
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Q3 Total expenditure in USDT:,"28,694.71",,,,,,
