"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3283.21039026723/ETH","TxnFee(ETH)","TxnFee(USD)","Historical $Price/ETH","Status","ErrCode","Method"
"0x3a4f95c27e69b4799d7287a098a291ae8141cb63d4657cb71e4cf4c3243d06c6","231383281","1720776468","2024-07-12 09:27:48","0xfa1db6794de6e994b60741decae0567946992181","0x0000000000000068f116a894984e2db1123eb395","","0","0","0","0.00000102","0.00334887459807257","3134.62","","","0xfd9f1e10"
"0xe6b0dfad21915b9aa905a1b28430401c7f9ab057cb158afa57edb80cc0143d05","234854321","1721647655","2024-07-22 11:27:35","0xfa1db6794de6e994b60741decae0567946992181","0xe50abe4756809b51b0041bb5ab12ec4c5c67af47","","0","0","0","0.00000054","0.0017729336107443","3441.05","","","Set Approval For All"
"0xea9e883e89c78a58e8b303c8998ed4f21eeb8cf6d8d8f87f18ce0e7298390726","236438432","1722045467","2024-07-27 01:57:47","0xfa1db6794de6e994b60741decae0567946992181","0xe50abe4756809b51b0041bb5ab12ec4c5c67af47","","0","0","0","0.00000066","0.00216691885757637","","","","Set Approval For All"
